club,last_name,first_name,position,base_salary,guaranteed_compensation
Houston Dynamo,Bajamich,Mateo,F,220000,280069
Vancouver Whitecaps,Baldisimo,Michael,M,81375,83138
Atlanta United,Barco,Ezequiel,M,1425000,1425000
New York RedBulls,Barlow,Tom,F,81375,81375
New York City FC,Barraza,Luis,G,63547,63547
FC Cincinnati,Barreal,Alvaro,F,250000,250000
FC Dallas,Barrios,Michael,M,560000,560000
Colorado Rapids,Bassett,Cole,M,90000,99000
Montreal Impact,Bayiha,Clement,M,71250,76625
San Jose Earthquakes,Beason,Tanner,D,81375,101375
Nashville SC,Beckeles,Brayan,D,225000,242500
Real Salt Lake,Beckerman,Kyle,M,300000,325000
Philadelphia Union,Bedoya,Alejandro,M,990000,1203333
Colorado Rapids,Beitashour,Steven,D,110000,135500
Atlanta United,Bello,George,D,90000,94000
Orlando City SC,Bender,Jordan,M,63547,63547
Philadelphia Union,Bendik,Joe,G,200000,200000
Colorado Rapids,Benezet,Nicolas,M,600000,600000
Columbus Crew,Berhalter,Sebastian,M,75000,76250
Chicago Fire,Beric,Robert,F,2274996,2703164
Columbus Crew,Berry,Miguel,F,63547,63547
San Jose Earthquakes,Bersano,Matt,G,81375,81375
Real Salt Lake,Besler,Nick,M,150000,150000
Sporting Kansas City,Besler,Matt,D,575000,675000
Vancouver Whitecaps,Bikel,Janio,M,350000,388750
Minnesota United,Billingsley,Noah,D,63547,63547
LA Galaxy,Bingham,David,G,450000,450000
Montreal Impact,Binks,Luis,D,81375,81375
DC United,Birnbaum,Steven,D,550000,562500
Houston Dynamo,Bizama,Jose,D,255871,304662
LAFC,Blackmon,Tristan,D,120000,130000
Philadelphia Union,Blake,Andre,G,550008,600008
Portland Timbers,Blanco,Sebastian,F,2200000,2313333
LAFC,Blessing,Latif,M,275000,291667
Columbus Crew,Boateng,Emmanuel,M,275000,275000
Portland Timbers,Bodily,Blake,M,63547,63547
Vancouver Whitecaps,Boehmer,Isaac,G,63547,63547
Portland Timbers,Bonilla,Pablo,D,81375,81375
Toronto FC,Bono,Alex,G,400000,432000
Chicago Fire,Bornstein,Jonathan,D,276000,299200
New EnglandRevolution,Bou,Gustavo,F,2120000,2120000
Minnesota United,Boxall,Michael,D,360000,398400
Toronto FC,Bradley,Michael,M,1500000,1500000
Chicago Fire,Brady,Chris,G,63547,65447
Montreal Impact,Brault-Guillard,Zachary,D,150000,183625
FC Dallas,Bressan,Matheus,D,536000,572631
DC United,Brillant,Frederic,D,250000,265000
Chicago Fire,Bronico,Brandt,M,110000,115750
Seattle Sounders FC,Bruin,Will,F,425000,433333
New EnglandRevolution,Buchanan,Tajon,F,100000,111000
New EnglandRevolution,Buksa,Adam,F,1000000,1106250
New EnglandRevolution,Bunbury,Teal,F,237038,282038
FC Dallas,Burgess,Nkosi,D,63547,63547
Philadelphia Union,Burke,Cory,F,83531,87314
Vancouver Whitecaps,Bush,Evan,G,349000,411667
Sporting Kansas City,Busio,Gianluca,M,99996,102496
New EnglandRevolution,Buttner,Alexander,D,625000,690000
Nashville SC,Bwana,Handwalla,F,81375,81375
New EnglandRevolution,Bye,Brandon,D,135000,142938
Houston Dynamo,Cabrera,Victor,D,325000,347328
Columbus Crew,Cadden,Chris,M,240000,240000
Nashville SC,Cadiz,Jhonder,F,855000,918900
New EnglandRevolution,Caicedo,Luis,M,325000,325000
New EnglandRevolution,Caldwell,Scott,M,190000,200896
New EnglandRevolution,Caldwell,Jeff,G,81375,81375
Inter Miami,Callender,Drake,G,100000,100000
New York CityFC,Callens,Alexander,D,650000,714000
San Jose Earthquakes,Calvillo,Eric,M,150000,168000
Chicago Fire,Calvo,Francisco,D,750000,822600
Montreal Impact,Camacho,Rudy,D,750000,799153
Atlanta United,Campbell,George,D,70000,70000
DC United,Canouse,Russell,M,300000,300000
Atlanta United,Carleton,Andrew,F,100000,112400
Inter Miami,Carranza,Julian,F,400000,400000
Chicago Fire,Casas,Javier,M,63547,65447
Portland Timbers,Cascante,Julio,D,200004,200004
New York RedBulls,Casseres,Cristian,M,195000,239000
New York CityFC,Castellanos,Valentin,M,275000,299806
Atlanta United,Castillo,Edgar,D,110000,118375
Atlanta United,Castro,Manuel,M,204000,209667
Vancouver Whitecaps,Cavallini,Lucas,F,1000000,1262500
Seattle Sounders FC,Cecchini,Emanuel,M,333000,474000
Houston Dynamo,Ceren,Darwin,M,170000,220000
FC Dallas,Cerrillo,Edwin,M,85000,100000
Minnesota United,Chacon,Thomas,F,381000,393000
Real Salt Lake,Chang,Maikel,M,81375,81375
New York City FC,Chanot,Maxime,D,725000,725000
Inter Miami,Chapman,Jay,M,144000,156833
Portland Timbers,Chara,Diego,M,650000,668750
Portland Timbers,Chara,Yimmi,M,1200000,1392000
FC Dallas,Che,Justin,D,63547,72756
Montreal Impact,Choiniere,Mathieu,M,95000,104238
LAFC,Cifuentes,Jose,M,367875,411750
Toronto FC,Ciman,Laurent,D,425000,460625
New York RedBulls,Clark,Caden,M,63547,100747
Portland Timbers,Clark,Steve,G,250000,250000
Seattle Sounders FC,Cleveland,Stefan,G,81375,81375
Nashville SC,Cochran,CJ,G,81375,81375
Chicago Fire,Collier,Elliot,F,81375,81375
PhiladelphiaUnion,Collin,Aurelien,D,200000,200000
Orlando CitySC,Colman,Josue,M,700000,700000
Vancouver Whitecaps,Colyn,Simon,M,81375,81375
Portland Timbers,Conechny,Tomas,M,400000,400000
Atlanta United,Conway,Jackson,F,63547,63547
Vancouver Whitecaps,Cornelius,Derek,D,115500,127413
LA Galaxy,Corona,Joe,M,600000,628500
Montreal Impact,Corrales,Jorge,D,81375,81375
San Jose Earthquakes,Cowell,Cade,F,63547,73547
PhiladelphiaUnion,Creavalle,Warren,M,170000,183300
Vancouver Whitecaps,Crepeau,Maxime,G,225000,252500
Houston Dynamo,Cropper,Cody,G,81375,87542
FC Cincinnati,Cruz,Allan,M,900000,1014000
LA Galaxy,Cuello,Emil,M,81375,81375
Orlando CitySC,Cunha,Antonio Carlos,D,799200,799200
Vancouver Whitecaps,Dajome,Cristian,F,350000,396667
FC Cincinnati,Dally,Rashawn,F,63547,66956
Atlanta United,Damm,Jurgen,M,1193251,1485761
Nashville SC,Danladi,Abu,F,160000,217000
New York RedBulls,Davis,Sean,M,350000,377500
Orlando CitySC,De Almeida,Ocimar,M,650000,680000
Orlando CitySC,De John,Alex,D,100000,105500
FC Cincinnati,De Jong,Siem,M,1157556,1287556
Philadelphia Union,De Vries,Jack,M,100000,115556
Inter Miami,DeLaGarza,AJ,M,287500,287500
Seattle Sounders FC,Delem,Jordy,M,160000,179000
Toronto FC,DeLeon,Nick,M,225000,240742
Toronto FC,Delgado,"Marco ""Marky""",M,303600,384850
FC Cincinnati,Deplagne,Mathieu,D,240000,254400
LA Galaxy,DePuy,Nick,D,81375,81375
Orlando City SC,Dezart,Joseph,M,63547,63547
Seattle Sounders FC,Dhillon,Justin,F,81375,81375
Sporting Kansas City,Dia,Amadou,D,81375,81375
Columbus Crew,Diaz,Luis,M,324996,358896
Minnesota United,Dibassy,Bakaye,D,480000,573125
Sporting Kansas City,Dick,Eric,G,81375,85020
Nashville SC,Dieterich,Tanner,M,63547,63547
Orlando City SC,Dike,Daryl,F,85000,113750
Montreal Impact,Diop,Clement,G,120000,148500
Seattle Sounders FC,Dobbelaere,Ethan,M,63547,77547
Austin FC,Dominguez,Cecilio,F,81375,287375
Toronto FC,Dorsey,Griffin,M,100000,119000
LA Galaxy,dos Santos,Jonathan,M,2000000,2000000
Minnesota United,Dotson,Hassani,M,63547,63547
LAFC,Duenas,Erik,D,63547,65547
LAFC,Duke,Bryce,M,81375,81375
Sporting Kansas City,Duke,Cameron,M,63547,66547
LA Galaxy,Dunbar,Cameron,F,90000,106750
New York RedBulls,Duncan,Kyle,D,81375,81375
Toronto FC,Dunn,Julian,D,81375,81375
Portland Timbers,Duvall,Chris,D,81375,81375
Orlando City SC,Dwyer,Dom,F,1452000,1635333
Portland Timbers,Ebobisse,Jeremy,F,425000,516250
DC United,Edwards,Earl,G,81375,84708
FC Cincinnati,Edwards,Bobby,G,81375,81375
Minnesota United,Edwards,Raheem,M,81375,81375
New York RedBulls,Egbo,Mandelo,D,252000,286700
LAFC,Ejimadu,Philip,G,63547,63547
LAFC,El-Mounir,Mohammed,D,220000,242667
Philadelphia Union,Elliott,Jack,D,300000,315000
Minnesota United,Emmings,Fred,G,63547,69547
Toronto FC,Endoh,Tsubasa,M,90000,95333
Atlanta United,Escobar,Franco,D,350004,350004
LA Galaxy,Esparza-Saldana,Adam,M,81375,87309
San Jose Earthquakes,Espinoza,Cristian,F,1150000,1265000
Sporting Kansas City,Espinoza,Roger,M,800000,800000
Columbus Crew,Etienne,Derrick,M,81375,81375
Vancouver Whitecaps,Facchineri,Gianfranco,D,63547,65547
New EnglandRevolution,Fagundez,Diego,M,195000,215000
Montreal Impact,Fanni,Rod,D,235000,258500
Portland Timbers,Farfan,Marco,D,115000,115000
New EnglandRevolution,Farrell,Andrew,D,237192,322192
San Jose Earthquakes,Felipe,Luis,M,100000,100750
LA Galaxy,Feltscher,Rolf,D,275000,299650
Montreal Impact,Ferdinand,Keesean,F,63547,73592
LA Galaxy,Ferkranus,Marcus,D,75000,88625
Sporting Kansas City,Fernandes,Gerso,F,600000,600000
New York RedBulls,Fernandez,Omir,M,90000,105000
FC Dallas,Ferreira,Jesus,F,450000,450000
San Jose Earthquakes,Fierro,Carlos,F,880000,938800
Inter Miami,Figal,Jorge,D,500000,530000
Houston Dynamo,Figueroa,Maynor,D,81375,81375
Minnesota United,Finlay,Ethan,M,425004,425004
New EnglandRevolution,Firmino,Nicolas,M,81375,85042
DC United,Fisher,Oniel,D,130000,138000
DC United,Flores,Edison,F,1600000,1733000
Portland Timbers,Flores,Andres,M,81375,81375
Philadelphia Union,Fontana,Anthony,M,81375,89793
Sporting Kansas City,Fontas,Andreu,D,700000,700000
Colorado Rapids,Ford,Kortne,D,120000,120000
Columbus Crew,Francis,Waylon,D,200000,239167
Chicago Fire,Frankowski,Przemyslaw,M,625000,836687
Toronto FC,Fraser,Liam,M,81375,86375
Sporting Kansas City,Freeman,Tyler,F,81375,83875
Philadelphia Union,Freese,Matt,G,75000,82650
Seattle Sounders FC,Frei,Stefan,G,500000,512500
Houston Dynamo,Fuenmayor,Alejandro,D,152250,179750
San Jose Earthquakes,Fuentes,Gilbert,M,140000,158750
Philadelphia Union,Gaddis,Ray,D,195000,195000
Toronto FC,Gallacher,Tony,D,63547,72000
Atlanta United,Gallagher,Jon,F,81375,81375
Toronto FC,Gallardo,Erickson,M,275004,306917
Orlando City SC,Gallese,Pedro,G,380000,380000
Colorado Rapids,Galvan,Braian,F,120000,212375
Houston Dynamo,Garcia,Oscar Boniek,M,200000,210000
Real Salt Lake,Garcia,Chris,F,63547,67847
FC Cincinnati,Garza,Greg,D,320000,320000
Minnesota United,Gasper,Chase,D,63547,63547
New EnglandRevolution,Gil,Carles,M,2100000,2619667
Chicago Fire,Gimenez,Gaston,M,1320000,1870667
LAFC,Ginella,Francisco,M,360000,482250
Montreal Impact,Giraldo,Tomas,M,63547,72304
Real Salt Lake,Glad,Justen,D,450000,471700
Minnesota United,Gleadle,Sam,D,63547,63547
Philadelphia Union,Glesnes,Jakob,D,420000,443125
Nashville SC,Godoy,Anibal,M,650000,721667
Vancouver Whitecaps,Godoy,Erik,D,350000,350000
Seattle Sounders FC,Gomez Andrade,Yeimar,D,275000,362000
LA Galaxy,Gonzalez,Yony,F,1266667,1270667
Toronto FC,Gonzalez,Omar,D,720000,995936
LA Galaxy,Gonzalez,Giancarlo,D,750000,819583
Inter Miami,Gonzalez Pirez,Leandro,D,742500,902750
New York CityFC,Gray,Tayvon,D,63547,83334
Minnesota United,Gregus,Jan,M,750000,883500
DC United,Gressel,Julian,M,500000,555781
Chicago Fire,Gutierrez,Brian,M,63547,65447
Sporting Kansas City,Gutierrez,Felipe,M,1600000,1650000
Vancouver Whitecaps,Gutierrez,Cristian,D,81375,98875
Chicago Fire,Gutjahr,Jeremiah,D,63547,63547
FC Cincinnati,Gutman,Andrew,D,100000,100000
Atlanta United,Guzan,Brad,G,730008,790008
FC Cincinnati,Gyau,Joe,M,166000,186473
New York City FC,Haak,Justin,M,63547,63547
Nashville SC,Haakenson,Luke,M,63547,63547
FC Cincinnati,Hagglund,Nick,D,151255,160880
Minnesota United,Hairston,Marlon,M,200004,200004
San Jose Earthquakes,Haji,Siad,F,85000,94000
Orlando City SC,Halliday,Michael,D,81375,90939
DC United,Hamid,Bill,G,500000,500000
Columbus Crew,Hamilton,Jordan,F,81375,81375
Houston Dynamo,Hansen,Niko,M,81375,88875
Sporting Kansas City,Harris,Wilson,F,63547,67399
LA Galaxy,Harvey,Carlos Miguel,M,63547,63547
LAFC,Harvey,Jordan,D,185000,185000
Vancouver Whitecaps,Hasal,Thomas,G,63547,63547
Minnesota United,Hayes,Jacori,M,81375,88875
FC Dallas,Hedges,Matt,D,750000,750000
Chicago Fire,Herbers,Fabian,F,155004,155004
LA Galaxy,Hernandez,Javier,F,6000000,6000000
Sporting Kansas City,Hernandez,Felipe,M,63547,63547
Real Salt Lake,Herrera,Aaron,D,275000,303794
Inter Miami,Higuain,Federico,F,81375,81375
Inter Miami,Higuain,Gonzalo,F,1457148,2150898
San Jose Earthquakes,Hoesen,Danny,F,525000,574667
FC Dallas,Hollingshead,Ryan,D,315000,315000
Real Salt Lake,Holt,Erik,D,81375,81375
Seattle Sounders FC,Hopeau,Shandon,M,63547,71183
Colorado Rapids,Hundley,Matt,F,81375,90375
Sporting Kansas City,Hurtado,Erik,F,192500,198750
Atlanta United,Hyndman,Emerson,M,800000,800000
Seattle Sounders FC,Ibarra,Miguel,F,210000,210000
New York City FC,Ibeagha,Sebastien,D,100000,127125
Real Salt Lake,Iloski,Milan,F,81375,82875
LA Galaxy,Insua,Emiliano,D,350000,350000
Colorado Rapids,Irwin,Clint,G,168000,180707
Portland Timbers,Ivacic,Aljaz,G,165000,175000
Colorado Rapids,Jackson,Niki,F,81375,81375
Montreal Impact,Jackson-Hamel,Anthony,F,130000,144000
Atlanta United,Jahn,Adam,F,115000,124000
LAFC,Jakovic,Dejan,D,175000,175000
Orlando City SC,Jansson,Robin,D,288000,316800
FC Dallas,Jara,Franco,F,2200000,2887000
New York CityFC,Jasson,Andres,F,81375,98519
New York RedBulls,Jensen,David,G,324996,364631
Columbus Crew,Jimenez,Hector,M,200000,200000
New York CityFC,Johnson,Sean,G,465000,465000
Nashville SC,Johnston,Alistair,M,63547,63547
Nashville SC,Jones,Derrick,M,125000,147969
New EnglandRevolution,Jones,DeJuan,M,90000,94938
Real Salt Lake,Jones,Alvin,D,81375,81375
Seattle Sounders FC,Jones,Joevin,M,482004,528671
New York RedBulls,Jorgensen,Mathias,F,300000,331250
San Jose Earthquakes,Jungwirth,Florian,M,525000,567667
Houston Dynamo,Junqua,Sam,D,63547,63547
Minnesota United,Kallman,Brent,D,200000,233531
DC United,Kamara,Ola,F,400000,420000
Minnesota United,Kamara,Kei,F,750000,750000
Atlanta United,Kann,Alec,G,110000,110000
Chicago Fire,Kappelhof,Johan,D,575000,602833
San Jose Earthquakes,Kashia,Guram,D,640000,640000
LAFC,Kaye,Mark-Anthony,M,226875,238438
Columbus Crew,Keita,Aboubacar,D,100000,100000
Colorado Rapids,Kelly,Jeremy,D,81375,81375
Columbus Crew,Kempin,Jon,G,81375,81375
New EnglandRevolution,Kessler,Henry,D,81375,101375
Vancouver Whitecaps,Khmiri,Jasser,D,210000,210000
Inter Miami,Kiesewetter,Jerome,F,81375,81375
Sporting Kansas City,Kinda,Gadi,M,650000,718000
LA Galaxy,Kitchen,Perry,M,550000,574167
Montreal Impact,Kizza,Mustafa,F,150000,166800
LA Galaxy,Klinsmann,Jonathan,G,81375,81375
LA Galaxy,Kljestan,Sacha,M,307000,307000
New EnglandRevolution,Knighton,Brad,G,130000,136750
LA Galaxy,Koreniuk,Kai,F,63547,63547
FC Cincinnati,Kovacevic,Franko,F,282000,282000
Real Salt Lake,Kreilach,Damir,M,1168769,1282102
Montreal Impact,Krkic,Bojan,M,1500000,1799572
Chicago Fire,Kronholm,Kenneth,G,433200,496200
FC Cincinnati,Kubo,Yuya,F,1000000,1122500
Atlanta United,Kunga,Lagos,F,81375,84375
Sporting Kansas City,Kuzain,Wan,M,81375,81375
Nashville SC,LaGrassa,Matt,M,81375,81375
Columbus Crew,Lampson,Matt,G,81375,81375
Nashville SC,Lancaster,Cameron,F,130000,137816
Minnesota United,Langsdorf,Foster,F,81375,81375
Montreal Impact,Lappalainen,Lassi,M,322881,322881
Atlanta United,Larentowicz,Jeff,M,280000,280000
Toronto FC,Laryea,Richie,M,81375,108328
Houston Dynamo,Lassiter,Ariel,F,144000,164280
Nashville SC,Leal,Randall,F,360000,417750
Seattle Sounders FC,Leerdam,Kelvin,D,650000,700000
New York RedBulls,Lema,Chris,M,63547,63547
Houston Dynamo,Lemoine,Nico,F,63547,63547
Atlanta United,Lennon,Brooks,D,325000,325000
LAFC,Leone,Antonio,M,63547,65547
Colorado Rapids,Lewis,Jonathan,F,117500,155000
Seattle Sounders FC,Leyva,Danny,M,63547,83052
Columbus Crew,Lillard,Grant,D,110000,112500
Columbus Crew,Lima,Artur,M,444000,495633
San Jose Earthquakes,Lima,Nick,D,225000,243438
Sporting Kansas City,Lindsey,Jaylin,D,81375,84375
LA Galaxy,Lletget,Sebastian,M,775000,898750
FC Cincinnati,Locadia,Jurgen,F,2000000,2312500
Minnesota United,Lod,Robin,F,849996,952496
Seattle Sounders FC,Lodeiro,Nicolas,M,2120000,2622500
Orlando City SC,Loera,David,M,90000,92500
New York RedBulls,Long,Aaron,D,835000,865000
LA Galaxy,Lopez,Eric,G,81375,81375
San Jose Earthquakes,Lopez,Marcos,D,300000,340250
Portland Timbers,Loría,Marvin,M,81375,81375
Nashville SC,Lovitz,Daniel,D,365000,395556
Real Salt Lake,Luiz,Everton,M,1080000,1180000
Houston Dynamo,Lundkvist,Adam,D,280000,308750
FC Cincinnati,Lundt,Ben,G,81375,84784
Major LeagueSoccer,Lyon,Charlie,G,81375,81375
Portland Timbers,Mabiala,Larrys,D,799992,843325
Montreal Impact,Maciel,Emanuel,M,81375,93004
New York CityFC,Mackay-Steven,Gary,M,260000,274833
Real Salt Lake,MacMath,Zac,G,200000,200000
Nashville SC,Maher,Jack,D,100000,134000
Inter Miami,Makoun,Christian,M,150000,150000
New EnglandRevolution,Mancienne,Michael,D,400000,440000
New EnglandRevolution,Manneh,Kekuta,F,475000,491667
Houston Dynamo,Manotas,Mauro,F,1200000,1345000
San Jose Earthquakes,Marcinkowski,JT,G,150000,162000
Houston Dynamo,Maric,Marko,G,450000,498250
San Jose Earthquakes,Marie,Paul,D,81375,81375
Toronto FC,Marshall-Rutty,Jahkeele,F,63547,70389
Atlanta United,Martinez,Josef,F,3250000,3308333
Houston Dynamo,Martinez,Tomas,M,450000,632925
Philadelphia Union,Martinez,Jose Andres,M,125000,140125
Real Salt Lake,Martinez,Doug,F,63547,63547
DC United,Martins,Felipe,M,530000,530000
Sporting Kansas City,Martins,Luis,D,360000,360000
New York CityFC,Matarrita,Ronald,D,350000,470000
FC Cincinnati,Mattocks,Darren,F,520000,520000
Inter Miami,Matuidi,Blaise,M,1333332,1333332
FC Dallas,Maurer,Jimmy,G,137500,140000
Toronto FC,Mavinga,Chris,D,750000,787500
PhiladelphiaUnion,Mbaizo,Olivier,D,81375,81375
FC Cincinnati,McCabe,Tommy,M,63547,63547
Inter Miami,McCarthy,John,G,105000,111583
Nashville SC,McCarty,Dax,M,700000,700000
Houston Dynamo,McCue,Erik,D,63547,63547
Portland Timbers,McGraw,Zac,D,63547,63547
Major LeagueSoccer,Mcgree,Riley,M,170000,180000
New York Red Bulls,McIntosh,Kendall,G,81375,81375
PhiladelphiaUnion,McKenzie,Mark,D,220000,257000
FC Cincinnati,McLaughlin,Jimmy,M,81375,81375
New EnglandRevolution,McNamara,Thomas,M,175000,175000
New York Red Bulls,Meara,Ryan,G,237000,237000
New York CityFC,Medina,Jesus,M,850000,970833
Chicago Fire,Medran,Alvaro,M,1000000,1055000
Seattle Sounders FC,Medranda,Jimmy,M,170504,170504
FC Cincinnati,Medunjanin,Haris,M,545000,600750
FC Dallas,Megiolaro,Phelipe,G,100000,119000
Sporting Kansas City,Melia,Tim,G,350000,354167
Orlando CitySC,Méndez,Jhegson Sebastián,M,500000,536750
Columbus Crew,Mensah,Jonathan,D,800004,894004
Real Salt Lake,Meram,Justin,M,425000,425000
Vancouver Whitecaps,Meredith,Bryan,G,81375,81375
Minnesota United,Metanire,Romain,D,400000,499250
Vancouver Whitecaps,Metcalfe,Patrick,M,63547,63547
Atlanta United,Meza,Fernando,D,880000,880000
Colorado Rapids,Mezquida,Nicolas,M,350000,380000
Orlando CitySC,Michel,Benji,F,95000,101250
Chicago Fire,Mihailovic,Djordje,M,126000,129600
Vancouver Whitecaps,Milinkovic,David,M,180000,200000
Minnesota United,Miller,Tyler,G,375000,395938
Nashville SC,Miller,Eric,D,124675,140550
Orlando CitySC,Miller,Kamal,D,63547,63547
Nashville SC,Mina Nazarit,Miguel,D,350000,544375
New York RedBulls,Mines,Ben,M,81375,87389
Seattle Sounders FC,Mior,Joao Paulo,M,1000000,1050000
New York CityFC,Mitrita,Alexandru,F,600000,600000
New EnglandRevolution,Mlinar Delamea,Antonio,D,450000,450000
Columbus Crew,Mokhtar,Youness,M,484992,558841
FC Cincinnati,Mokotjo,Kamohelo,M,850000,932969
Minnesota United,Molino,Kevin,M,525000,571250
Chicago Fire,Monis,Alex,F,63547,65447
Philadelphia Union,Monteiro,Jamiro,M,1300000,1476250
Vancouver Whitecaps,Montero,Fredy,F,1048000,1248000
FC Dallas,Montgomery,Callum,D,81375,81375
Colorado Rapids,Moor,Drew,D,250000,259000
Atlanta United,Moore,Brendan,G,81375,81375
DC United,Mora,Joseph,D,160000,174250
Portland Timbers,Mora,Felipe,F,686250,765833
New York CityFC,Moralez,Maxi,M,2750000,3535000
Atlanta United,Moreno,Marcelino,F,342857,342857
DC United,Moreno,Junior,M,160000,169500
Inter Miami,Morgan,Lewis,F,325000,331250
Real Salt Lake,Morgan,Ashtone,D,81375,81375
Columbus Crew,Morris,Aidan,M,125000,127000
Seattle Sounders FC,Morris,Jordan,F,1000000,1120100
Toronto FC,Morrow,Justin,D,400000,400000
FC Dallas,Mosquera,Santiago,M,550000,641400
Orlando City SC,Moutinho,Joao,D,150000,193000
Orlando City SC,Mueller,Chris,M,107578,121328
Nashville SC,Mukhtar,Hany,M,1397500,1397500
Vancouver Whitecaps,Mukumbilwa,Georges,M,63547,63547
Real Salt Lake,Mulholland,Luke,M,81375,81375
Toronto FC,Mullins,Patrick,F,178000,191333
Atlanta United,Mulraney,Jake,M,225652,262829
FC Dallas,Munjoma,Eddie,D,63547,63547
LAFC,Murillo,Jesus,D,120000,179500
Minnesota United,Musa,James,M,81375,87545
Seattle Sounders FC,Muse,Trey,G,73763,82513
LAFC,Musovski,Danny,F,81375,81375
Nashville SC,Muyl,Alex,M,220000,226562
FC Cincinnati,N'dam,Hassan,D,81375,81375
Columbus Crew,Nagbe,Darlington,M,1530000,1530000
LAFC,Najar,Andy,D,200000,200000
Colorado Rapids,Namli,Younes,M,750000,1171000
Orlando City SC,Nani,Luis,F,2333333,2486250
Chicago Fire,Navarro,Miguel Angel,D,81375,128375
LA Galaxy,Neal,Jalen,D,75000,88625
Inter Miami,Nealis,Dylan,D,90000,115000
New York RedBulls,Nealis,Sean,D,63547,63547
FC Dallas,Nelson,John,D,95000,103000
Houston Dynamo,Nelson,Michael,G,81375,81375
Toronto FC,Nelson,Jayden,F,63547,70132
Columbus Crew,Nemeth,Krisztian,F,375000,405000
Vancouver Whitecaps,Nerwinski,Jake,D,158400,162525
Philadelphia Union,Ngalina,Michee,F,63547,63547
New EnglandRevolution,Nguyen,Lee,M,525000,530000
Portland Timbers,Niezgoda,Jaroslaw,F,705500,874758
Inter Miami,Norman,David,M,81375,82375
DC United,Nyeman,Moses,M,81375,84161
Seattle Sounders FC,O'Neill,Shane,D,81375,81375
Seattle Sounders FC,Ocampo-Chavez,Alfonso,F,63547,78047
Real Salt Lake,Ochoa,David,G,73763,73763
San Jose Earthquakes,Ochoa,Emmanuel,G,63547,73759
DC United,Odoi-Atsem,Chris,D,81375,81375
Toronto FC,Okello,Noble,M,81375,93190
Montreal Impact,Okwonkwo,Orji,F,200000,220000
Chicago Fire,Omsberg,Wyatt,D,81375,81375
Real Salt Lake,Onuoha,Nedum,D,549996,603996
Minnesota United,Opara,Ike,D,550000,635333
LAFC,Opoku,Kwadwo,F,81375,122430
Philadelphia Union,Oravec,Matej,M,240000,254500
FC Cincinnati,Ortiz Flores,Rey,M,63547,63547
Toronto FC,Osorio,Jonathan,M,800000,826250
