club,last_name,first_name,position,base_salary,guaranteed_compensation
Atlanta United,Almada,Thiago,F,1650000.0,2332000.0
Atlanta United,Alonso,Osvaldo,M,84000.0,84000.0
Atlanta United,Ambrose,Mikey,D,85444.0,85444.0
Atlanta United,Araujo,Luiz,F,3600000.0,4480333.0
Atlanta United,Barco,Ezequiel,M,2200000.0,2200000.0
Atlanta United,Campbell,George,D,98000.0,98000.0
Atlanta United,Castanheira,Dylan,G,85444.0,85444.0
Atlanta United,Centeno,Erik,D,65500.0,75276.0
Atlanta United,Chol,Machop,M,65500.0,65500.0
Atlanta United,Cisneros,Ronaldo,F,244000.0,244000.0
Atlanta United,Conway,Jackson,F,84000.0,84000.0
Atlanta United,De John,Alex,D,85444.0,85444.0
Atlanta United,Dwyer,Dom,F,84000.0,84000.0
Atlanta United,Franco,Alan,D,540000.0,667500.0
Atlanta United,Garces,Justin,G,65500.0,65500.0
Atlanta United,Gudiño,Raúl,G,200000.0,247333.0
Atlanta United,Gutman,Andrew,D,300000.0,331250.0
Atlanta United,Guzan,Brad,G,445716.0,458216.0
Atlanta United,Hernandez,Ronald,D,300000.0,300000.0
Atlanta United,Hyndman,Emerson,M,657143.0,657143.0
Atlanta United,Ibarra,Franco,M,450000.0,520000.0
Atlanta United,Lennon,Brooks,D,500000.0,500000.0
Atlanta United,Lopez Samaniego,Erik,F,360000.0,528300.0
Atlanta United,Martinez,Josef,F,3750000.0,4141667.0
Atlanta United,McFadden,Aiden,D,65500.0,65500.0
Atlanta United,Morales,Efrain,D,65500.0,65500.0
Atlanta United,Moreno,Marcelino,F,460000.0,568333.0
Atlanta United,Mosquera,Edwin,F,300000.0,337000.0
Atlanta United,Purata,Juan Jose,D,400000.0,483500.0
Atlanta United,Rios-Novo,Rocco,G,108000.0,115530.0
Atlanta United,Robinson,Miles,D,700000.0,737500.0
Atlanta United,Rossetto,Matheus,M,550000.0,662500.0
Atlanta United,Sejdic,Amar,M,85444.0,85444.0
Atlanta United,Sosa,Santiago,F,525000.0,643100.0
Atlanta United,Washington,Bryce,D,65500.0,65500.0
Atlanta United,Wiley,Caleb,D,65500.0,67100.0
Atlanta United,Wolff,Tyler,F,110000.0,114500.0
Austin FC,Asensio,Carlos,D,65500.0,65500.0
Austin FC,Cascante,Julio,D,310000.0,337500.0
Austin FC,Corozo,Washington,F,300000.0,327500.0
Austin FC,Djitte,Moussa,F,550000.0,550000.0
Austin FC,Driussi,Sebastian,F,2200000.0,2317000.0
Austin FC,Fagundez,Diego,M,450000.0,450000.0
Austin FC,Finlay,Ethan,M,350000.0,350000.0
Austin FC,Gabrielsen,Ruben,D,950000.0,950000.0
Austin FC,Gallagher,Jon,D,155000.0,155000.0
Austin FC,Hoesen,Danny,F,650000.0,716667.0
Austin FC,Jimenez,Hector,D,200000.0,200000.0
Austin FC,Keller,Kipp,D,84000.0,96500.0
Austin FC,Kleeman,Freddy,D,66724.0,66724.0
Austin FC,Kolmanic,Zan,D,300000.0,300000.0
